Age,Gender,Income,Education,Employment,Online_Shop_Frequency,Avg_Spend_Per_Order,Frequent_Categories,Device_Used,Main_Purchase_Factor,Try_New_Platform,Pay_Faster_Delivery,Become_Regular_If_Personalized,Max_Loyalty_Program_Pay,Abandon_Cart_If_Slow,Allow_Data_Use_For_Rec,Checkout_Problem,Attn_Personalized_Recs,Price_Sensitivity,Switch_For_Discount,Shopping_Challenges,Desired_Features,Satisfaction_1_10,Preferred_Shop_Time,Would_Recommend
35-44,Male,$1000-$2999,Master’s,Unemployed,6-10 times,<$20,Groceries,Mobile,Price,Very Likely,Yes,Very Unlikely,<$5,Yes,No,Other,Always,Somewhat Sensitive,Very Likely,"Other,Delivery Delays",Live Chat Support,7,Night,No
45-54,Male,$3000-$4999,Master’s,Employed,6-10 times,$100-$199,Groceries,Mobile,Brand,Very Likely,No,Likely,$10-19,Sometimes,No,Complicated Checkout,Sometimes,Somewhat Sensitive,Very Likely,Lack of Variety,"Live Chat Support,One-Click Checkout",5,Afternoon,No
25-34,Male,$3000-$4999,Master’s,Employed,3-5 times,$50-$99,"Home & Kitchen,Electronics,Groceries",Mobile,Price,Very Likely,No,Very Likely,<$5,Sometimes,No,Complicated Checkout,Sometimes,Neutral,Likely,"Payment Issues,Product Quality,Delivery Delays",Better Loyalty Rewards,3,Evening,No
18-24,Male,$5000-$9999,Bachelor’s,Employed,6-10 times,$50-$99,Home & Kitchen,Desktop/Laptop,Price,Unlikely,Yes,Very Likely,$10-19,No,No,Security Concerns,Sometimes,Very Sensitive,Likely,"Product Quality,Delivery Delays,Poor Customer Service","Flexible Returns,Better Loyalty Rewards",7,Evening,Yes
45-54,Male,$3000-$4999,Bachelor’s,Employed,6-10 times,$50-$99,"Home & Kitchen,Electronics,Groceries",Mobile,Product Range,Likely,Yes,Very Likely,<$5,Yes,Yes,Complicated Checkout,Sometimes,Somewhat Sensitive,Likely,"Product Quality,Delivery Delays","AR Product Previews,Better Loyalty Rewards",10,Evening,Yes
45-54,Male,$1000-$2999,Bachelor’s,Self-employed,1-2 times,$100-$199,"Home & Kitchen,Fashion",Desktop/Laptop,Brand,Likely,Maybe,Very Likely,$10-19,Yes,Yes,Slow Delivery,Sometimes,Very Sensitive,Neutral,"Lack of Variety,Other,Delivery Delays","Live Chat Support,Flexible Returns",10,Morning,Yes
35-44,Female,"$10,000+",Bachelor’s,Employed,6-10 times,$50-$99,"Other,Groceries",Mobile,Price,Very Likely,Yes,Very Unlikely,$10-19,Sometimes,No,Slow Delivery,Sometimes,Neutral,Likely,Lack of Variety,Other,9,Morning,No
35-44,Female,$3000-$4999,Bachelor’s,Employed,6-10 times,$20-$49,Electronics,Desktop/Laptop,Reviews,Very Likely,Maybe,Likely,$5-9,No,Yes,Security Concerns,Never,Somewhat Sensitive,Neutral,"Product Quality,Lack of Variety,Delivery Delays","Better Loyalty Rewards,One-Click Checkout",9,Night,No
18-24,Female,$5000-$9999,Bachelor’s,Employed,1-2 times,$20-$49,"Books,Fashion",Desktop/Laptop,Discounts,Likely,Maybe,Very Likely,<$5,Sometimes,No,High Shipping Costs,Rarely,Neutral,Very Likely,Payment Issues,Live Chat Support,7,Afternoon,Yes
35-44,Female,$1000-$2999,Bachelor’s,Employed,1-2 times,$50-$99,Groceries,Mobile,Discounts,Very Unlikely,Maybe,Neutral,$10-19,Sometimes,Maybe,Slow Delivery,Sometimes,Very Sensitive,Unlikely,Poor Customer Service,"Live Chat Support,Flexible Returns",6,Morning,No
18-24,Female,$3000-$4999,Doctorate,Employed,3-5 times,$50-$99,Home & Kitchen,Other,Delivery Speed,Very Unlikely,No,Neutral,<$5,Yes,Yes,Complicated Checkout,Sometimes,Neutral,Very Likely,"Delivery Delays,Payment Issues,Product Quality","Flexible Returns,Better Loyalty Rewards,Other",5,Evening,Yes
25-34,Female,"$10,000+",Other,Self-employed,3-5 times,$50-$99,Electronics,Mobile,Discounts,Very Likely,Yes,Likely,$10-19,No,Yes,Security Concerns,Sometimes,Somewhat Sensitive,Likely,Poor Customer Service,One-Click Checkout,3,Night,Yes
35-44,Female,<$1000,Master’s,Employed,1-2 times,$100-$199,"Fashion,Groceries,Other",Desktop/Laptop,Price,Likely,No,Very Likely,<$5,Sometimes,No,Security Concerns,Never,Very Sensitive,Unlikely,"Lack of Variety,Product Quality","Live Chat Support,Better Loyalty Rewards",8,Afternoon,Yes
45-54,Female,$5000-$9999,High School,Employed,3-5 times,$20-$49,"Home & Kitchen,Health & Beauty,Other",Mobile,Discounts,Very Likely,No,Likely,<$5,Sometimes,No,Security Concerns,Always,Somewhat Sensitive,Likely,"Lack of Variety,Poor Customer Service,Payment Issues","AR Product Previews,Better Loyalty Rewards",7,Evening,Yes
45-54,Female,$3000-$4999,Bachelor’s,Unemployed,1-2 times,$20-$49,"Books,Electronics",Mobile,Brand,Neutral,Maybe,Very Likely,None,No,No,High Shipping Costs,Sometimes,Very Sensitive,Likely,"Product Quality,Payment Issues,Lack of Variety","Flexible Returns,Better Loyalty Rewards",4,Night,Maybe
25-34,Male,"$10,000+",Master’s,Unemployed,6-10 times,$50-$99,"Electronics,Other,Groceries",Desktop/Laptop,Discounts,Neutral,Yes,Neutral,None,Sometimes,Yes,Changed Mind,Rarely,Neutral,Neutral,"Poor Customer Service,Product Quality","Flexible Returns,Live Chat Support,One-Click Checkout",10,Night,No
25-34,Male,$5000-$9999,Bachelor’s,Employed,1-2 times,$20-$49,"Fashion,Groceries",Mobile,Price,Unlikely,Yes,Likely,None,No,Maybe,Security Concerns,Always,Very Sensitive,Likely,Delivery Delays,"Flexible Returns,Better Loyalty Rewards",7,Evening,Maybe
45-54,Female,$3000-$4999,Bachelor’s,Employed,3-5 times,$50-$99,Health & Beauty,Mobile,Brand,Neutral,Yes,Very Likely,$5-9,Sometimes,No,Security Concerns,Always,Somewhat Sensitive,Very Likely,Delivery Delays,"Other,One-Click Checkout,Flexible Returns",7,Afternoon,Yes
18-24,Female,$5000-$9999,Bachelor’s,Employed,1-2 times,$50-$99,"Groceries,Fashion,Electronics",Mobile,Brand,Likely,No,Neutral,None,Yes,Yes,High Shipping Costs,Rarely,Very Sensitive,Very Likely,"Payment Issues,Delivery Delays","One-Click Checkout,Better Loyalty Rewards,Flexible Returns",7,Afternoon,Yes
25-34,Male,"$10,000+",Master’s,Student,3-5 times,<$20,"Home & Kitchen,Other",Mobile,Delivery Speed,Very Likely,No,Likely,<$5,No,Yes,Complicated Checkout,Sometimes,Not at All Sensitive,Likely,"Product Quality,Delivery Delays,Poor Customer Service","One-Click Checkout,Better Loyalty Rewards",9,Night,Maybe
55+,Female,"$10,000+",Master’s,Employed,3-5 times,$20-$49,"Fashion,Home & Kitchen,Books",Mobile,Delivery Speed,Neutral,No,Unlikely,$5-9,Yes,Yes,Other,Sometimes,Very Sensitive,Neutral,"Product Quality,Delivery Delays,Lack of Variety","One-Click Checkout,Live Chat Support,AR Product Previews",10,Afternoon,Yes
55+,Female,$1000-$2999,High School,Employed,3-5 times,$200+,Fashion,Mobile,Discounts,Very Likely,No,Unlikely,$5-9,Yes,No,Slow Delivery,Often,Not Very Sensitive,Likely,"Delivery Delays,Payment Issues,Other","Live Chat Support,Better Loyalty Rewards",8,Afternoon,No
45-54,Female,<$1000,High School,Employed,1-2 times,$50-$99,"Other,Groceries",Mobile,Brand,Unlikely,No,Likely,None,Sometimes,No,Other,Often,Somewhat Sensitive,Neutral,"Payment Issues,Lack of Variety,Product Quality",Other,7,Evening,No
45-54,Male,$5000-$9999,Bachelor’s,Unemployed,1-2 times,$20-$49,Electronics,Other,Price,Likely,No,Likely,<$5,Yes,Yes,High Shipping Costs,Never,Neutral,Likely,"Product Quality,Poor Customer Service","Better Loyalty Rewards,One-Click Checkout",7,Afternoon,No
25-34,Male,$1000-$2999,Bachelor’s,Employed,1-2 times,$100-$199,"Health & Beauty,Fashion",Mobile,Price,Very Unlikely,No,Very Unlikely,None,Sometimes,Yes,Slow Delivery,Sometimes,Somewhat Sensitive,Likely,"Product Quality,Payment Issues,Poor Customer Service","Flexible Returns,Better Loyalty Rewards,One-Click Checkout",6,Morning,No
18-24,Female,$5000-$9999,Bachelor’s,Employed,6-10 times,$20-$49,"Groceries,Electronics",Desktop/Laptop,Price,Neutral,No,Unlikely,<$5,Yes,No,Security Concerns,Rarely,Very Sensitive,Likely,Lack of Variety,Better Loyalty Rewards,10,Afternoon,No
35-44,Male,$3000-$4999,Master’s,Self-employed,3-5 times,$50-$99,Home & Kitchen,Mobile,Product Range,Unlikely,No,Very Likely,$5-9,Sometimes,No,Slow Delivery,Often,Somewhat Sensitive,Very Unlikely,"Poor Customer Service,Lack of Variety,Product Quality","Better Loyalty Rewards,Other",6,Afternoon,No
45-54,Male,$3000-$4999,Bachelor’s,Self-employed,3-5 times,$50-$99,Electronics,Desktop/Laptop,Discounts,Very Likely,No,Neutral,$20+,No,No,High Shipping Costs,Never,Neutral,Likely,"Lack of Variety,Payment Issues,Delivery Delays","Better Loyalty Rewards,Live Chat Support",3,Afternoon,Yes
25-34,Male,"$10,000+",Bachelor’s,Employed,3-5 times,$50-$99,"Groceries,Electronics",Tablet,Brand,Very Unlikely,Yes,Very Unlikely,$20+,Yes,Maybe,Other,Sometimes,Very Sensitive,Unlikely,"Product Quality,Lack of Variety","Other,Better Loyalty Rewards",6,Evening,No
35-44,Female,$1000-$2999,Master’s,Employed,3-5 times,$50-$99,Groceries,Mobile,Brand,Likely,No,Very Likely,None,Sometimes,Yes,Security Concerns,Sometimes,Somewhat Sensitive,Unlikely,"Lack of Variety,Product Quality,Delivery Delays","Other,One-Click Checkout,Live Chat Support",8,Evening,Yes
25-34,Male,$3000-$4999,Bachelor’s,Self-employed,3-5 times,$100-$199,"Groceries,Books",Mobile,Reviews,Likely,Maybe,Very Likely,$10-19,Yes,Maybe,High Shipping Costs,Often,Somewhat Sensitive,Likely,"Lack of Variety,Payment Issues",One-Click Checkout,6,Afternoon,Maybe
18-24,Female,$3000-$4999,Bachelor’s,Employed,1-2 times,$100-$199,"Books,Home & Kitchen",Mobile,Price,Likely,Yes,Neutral,None,Yes,Yes,Security Concerns,Always,Somewhat Sensitive,Likely,"Product Quality,Lack of Variety","Flexible Returns,Better Loyalty Rewards,AR Product Previews",5,Night,Maybe
55+,Male,$5000-$9999,Doctorate,Employed,3-5 times,$100-$199,"Other,Fashion",Desktop/Laptop,Discounts,Likely,Maybe,Likely,<$5,Yes,Yes,Changed Mind,Never,Very Sensitive,Neutral,"Poor Customer Service,Payment Issues",AR Product Previews,1,Night,Maybe
35-44,Male,$5000-$9999,High School,Self-employed,6-10 times,$100-$199,Home & Kitchen,Mobile,Reviews,Likely,Yes,Very Unlikely,None,Sometimes,No,Slow Delivery,Often,Neutral,Neutral,Poor Customer Service,"Better Loyalty Rewards,One-Click Checkout,AR Product Previews",8,Afternoon,Yes
45-54,Female,$1000-$2999,High School,Unemployed,6-10 times,$20-$49,Home & Kitchen,Mobile,Discounts,Unlikely,No,Neutral,$20+,No,No,Slow Delivery,Rarely,Somewhat Sensitive,Very Unlikely,"Product Quality,Payment Issues,Other","Live Chat Support,Better Loyalty Rewards",5,Night,Maybe
35-44,Male,$3000-$4999,Bachelor’s,Employed,6-10 times,$50-$99,"Home & Kitchen,Electronics",Mobile,Price,Neutral,Yes,Very Unlikely,$10-19,Yes,No,High Shipping Costs,Often,Somewhat Sensitive,Unlikely,Delivery Delays,"One-Click Checkout,Other,Live Chat Support",9,Afternoon,No
18-24,Female,<$1000,Doctorate,Employed,3-5 times,$200+,Groceries,Desktop/Laptop,Reviews,Very Likely,Yes,Likely,$5-9,No,No,Security Concerns,Rarely,Somewhat Sensitive,Likely,"Delivery Delays,Lack of Variety,Product Quality","Better Loyalty Rewards,One-Click Checkout",7,Afternoon,Maybe
55+,Female,$3000-$4999,Bachelor’s,Employed,1-2 times,<$20,"Books,Electronics",Mobile,Delivery Speed,Unlikely,No,Likely,$10-19,Sometimes,Yes,Slow Delivery,Rarely,Somewhat Sensitive,Very Likely,"Delivery Delays,Poor Customer Service,Product Quality","One-Click Checkout,Flexible Returns,Better Loyalty Rewards",2,Evening,Maybe
25-34,Male,$1000-$2999,Master’s,Employed,1-2 times,$20-$49,Groceries,Mobile,Reviews,Likely,No,Likely,None,No,No,Complicated Checkout,Rarely,Somewhat Sensitive,Neutral,"Poor Customer Service,Lack of Variety","Flexible Returns,One-Click Checkout",5,Morning,Maybe
25-34,Male,$3000-$4999,Master’s,Employed,3-5 times,$50-$99,"Fashion,Home & Kitchen,Groceries",Desktop/Laptop,Discounts,Very Likely,No,Likely,$5-9,No,Maybe,Slow Delivery,Never,Very Sensitive,Unlikely,Product Quality,"One-Click Checkout,Better Loyalty Rewards,Flexible Returns",8,Afternoon,No
35-44,Male,"$10,000+",Bachelor’s,Self-employed,6-10 times,$100-$199,"Electronics,Books,Fashion",Mobile,Discounts,Very Likely,Yes,Neutral,$5-9,Yes,No,Other,Never,Very Sensitive,Neutral,"Lack of Variety,Payment Issues","AR Product Previews,One-Click Checkout",3,Afternoon,Maybe
25-34,Male,$1000-$2999,Bachelor’s,Employed,3-5 times,$50-$99,Electronics,Desktop/Laptop,Price,Likely,Yes,Unlikely,$5-9,Yes,Yes,Slow Delivery,Rarely,Very Sensitive,Unlikely,Payment Issues,"One-Click Checkout,Live Chat Support,Better Loyalty Rewards",8,Night,Yes
55+,Male,"$10,000+",Bachelor’s,Employed,3-5 times,$20-$49,Electronics,Mobile,Discounts,Very Likely,Yes,Likely,None,No,Yes,Other,Sometimes,Not Very Sensitive,Very Likely,"Lack of Variety,Other,Payment Issues",Better Loyalty Rewards,9,Evening,Yes
55+,Female,$1000-$2999,Master’s,Employed,1-2 times,$20-$49,Groceries,Desktop/Laptop,Discounts,Likely,Maybe,Unlikely,None,Yes,Maybe,Changed Mind,Sometimes,Very Sensitive,Likely,"Lack of Variety,Delivery Delays,Product Quality","AR Product Previews,Flexible Returns",10,Evening,Maybe
18-24,Male,$3000-$4999,Master’s,Retired,1-2 times,$20-$49,"Groceries,Home & Kitchen",Desktop/Laptop,Price,Unlikely,Yes,Likely,<$5,Sometimes,Yes,Other,Sometimes,Neutral,Neutral,"Product Quality,Lack of Variety,Delivery Delays",Flexible Returns,10,Evening,No
35-44,Male,$5000-$9999,Master’s,Employed,3-5 times,$200+,Groceries,Desktop/Laptop,Price,Unlikely,No,Very Likely,$5-9,Sometimes,Maybe,High Shipping Costs,Never,Somewhat Sensitive,Very Likely,Lack of Variety,One-Click Checkout,6,Afternoon,No
45-54,Female,$3000-$4999,Bachelor’s,Employed,1-2 times,$50-$99,"Home & Kitchen,Electronics",Mobile,Price,Likely,No,Unlikely,None,Yes,No,High Shipping Costs,Sometimes,Very Sensitive,Unlikely,"Product Quality,Delivery Delays,Poor Customer Service","Live Chat Support,Better Loyalty Rewards,AR Product Previews",6,Evening,No
45-54,Female,$5000-$9999,Bachelor’s,Employed,3-5 times,$50-$99,"Electronics,Other,Groceries",Mobile,Reviews,Likely,No,Likely,None,Yes,Yes,Other,Sometimes,Not Very Sensitive,Neutral,"Product Quality,Other","Flexible Returns,Better Loyalty Rewards,AR Product Previews",7,Evening,No
25-34,Female,"$10,000+",Bachelor’s,Employed,6-10 times,$50-$99,Health & Beauty,Mobile,Product Range,Very Likely,Maybe,Very Unlikely,<$5,Sometimes,No,Other,Sometimes,Somewhat Sensitive,Unlikely,"Poor Customer Service,Delivery Delays,Product Quality",AR Product Previews,10,Morning,Yes
25-34,Male,"$10,000+",Master’s,Self-employed,6-10 times,$20-$49,Other,Desktop/Laptop,Brand,Likely,Maybe,Unlikely,<$5,Sometimes,Maybe,Complicated Checkout,Sometimes,Very Sensitive,Likely,Other,"Better Loyalty Rewards,One-Click Checkout,AR Product Previews",4,Afternoon,No
35-44,Male,"$10,000+",Bachelor’s,Student,1-2 times,$50-$99,"Fashion,Books,Health & Beauty",Mobile,Reviews,Likely,Yes,Very Unlikely,$10-19,Yes,Maybe,Other,Sometimes,Not Very Sensitive,Neutral,"Lack of Variety,Poor Customer Service,Other",Live Chat Support,7,Night,Yes
35-44,Male,$3000-$4999,Master’s,Employed,6-10 times,$50-$99,"Fashion,Electronics",Desktop/Laptop,Discounts,Very Likely,Yes,Very Likely,<$5,Yes,No,Slow Delivery,Always,Somewhat Sensitive,Likely,"Delivery Delays,Payment Issues",Better Loyalty Rewards,5,Evening,No
18-24,Male,$5000-$9999,Bachelor’s,Self-employed,6-10 times,$100-$199,"Home & Kitchen,Other",Tablet,Brand,Likely,Yes,Very Unlikely,<$5,Sometimes,No,Complicated Checkout,Rarely,Neutral,Likely,"Product Quality,Poor Customer Service,Delivery Delays","One-Click Checkout,Live Chat Support,Better Loyalty Rewards",4,Evening,Yes
55+,Male,$3000-$4999,Bachelor’s,Employed,3-5 times,$50-$99,Fashion,Mobile,Product Range,Unlikely,Yes,Neutral,$5-9,Yes,Yes,Changed Mind,Sometimes,Very Sensitive,Neutral,Payment Issues,"Flexible Returns,One-Click Checkout",4,Evening,Yes
18-24,Male,$1000-$2999,Master’s,Employed,1-2 times,$20-$49,Groceries,Mobile,Discounts,Neutral,Yes,Likely,<$5,Yes,Yes,Slow Delivery,Sometimes,Somewhat Sensitive,Very Unlikely,"Other,Poor Customer Service","Live Chat Support,Better Loyalty Rewards",6,Morning,Yes
25-34,Male,$3000-$4999,Bachelor’s,Unemployed,1-2 times,$20-$49,Health & Beauty,Mobile,Product Range,Neutral,Yes,Neutral,<$5,No,Yes,Other,Rarely,Very Sensitive,Unlikely,"Lack of Variety,Poor Customer Service","Live Chat Support,Better Loyalty Rewards,AR Product Previews",8,Night,Yes
35-44,Male,$1000-$2999,High School,Employed,6-10 times,$50-$99,"Groceries,Other,Fashion",Mobile,Reviews,Very Likely,No,Very Unlikely,$10-19,Yes,No,Security Concerns,Often,Very Sensitive,Very Likely,Delivery Delays,"Better Loyalty Rewards,AR Product Previews",5,Evening,Yes
25-34,Female,$3000-$4999,Bachelor’s,Retired,6-10 times,<$20,Health & Beauty,Mobile,Discounts,Neutral,Yes,Unlikely,None,Sometimes,Maybe,Slow Delivery,Often,Very Sensitive,Likely,"Product Quality,Payment Issues,Other","One-Click Checkout,Better Loyalty Rewards,Flexible Returns",10,Evening,No
45-54,Female,$5000-$9999,Doctorate,Employed,1-2 times,$100-$199,Electronics,Mobile,Delivery Speed,Likely,Maybe,Unlikely,<$5,No,No,Complicated Checkout,Never,Somewhat Sensitive,Very Unlikely,Other,AR Product Previews,6,Morning,Yes
35-44,Female,$1000-$2999,Bachelor’s,Employed,10+ times,$20-$49,Home & Kitchen,Mobile,Price,Unlikely,Maybe,Likely,<$5,Sometimes,No,High Shipping Costs,Rarely,Neutral,Unlikely,Payment Issues,"Better Loyalty Rewards,One-Click Checkout",9,Morning,No
35-44,Other,$3000-$4999,High School,Student,10+ times,$100-$199,"Home & Kitchen,Fashion,Other",Tablet,Product Range,Very Likely,Maybe,Unlikely,$5-9,Sometimes,Maybe,Complicated Checkout,Often,Somewhat Sensitive,Likely,"Other,Payment Issues,Delivery Delays",Live Chat Support,5,Night,No
18-24,Female,$5000-$9999,High School,Employed,3-5 times,$50-$99,"Electronics,Health & Beauty,Groceries",Desktop/Laptop,Product Range,Neutral,Maybe,Likely,<$5,Sometimes,Yes,High Shipping Costs,Sometimes,Neutral,Likely,Delivery Delays,"AR Product Previews,Other,One-Click Checkout",10,Evening,Yes
25-34,Female,$3000-$4999,High School,Employed,1-2 times,$50-$99,"Home & Kitchen,Health & Beauty,Groceries",Tablet,Brand,Likely,Yes,Neutral,$5-9,Sometimes,No,Changed Mind,Always,Not Very Sensitive,Neutral,Poor Customer Service,"AR Product Previews,Other",7,Evening,Yes
25-34,Female,<$1000,Bachelor’s,Employed,10+ times,$50-$99,"Fashion,Health & Beauty,Home & Kitchen",Desktop/Laptop,Reviews,Likely,Yes,Neutral,<$5,No,Maybe,Other,Rarely,Somewhat Sensitive,Likely,"Delivery Delays,Product Quality","Live Chat Support,One-Click Checkout",8,Afternoon,Maybe
25-34,Male,$3000-$4999,Bachelor’s,Student,1-2 times,$50-$99,"Other,Groceries,Books",Desktop/Laptop,Product Range,Neutral,Yes,Very Likely,<$5,No,No,Slow Delivery,Never,Neutral,Very Unlikely,Delivery Delays,"One-Click Checkout,AR Product Previews,Live Chat Support",6,Afternoon,Maybe
35-44,Male,"$10,000+",Bachelor’s,Unemployed,6-10 times,$50-$99,Fashion,Desktop/Laptop,Discounts,Neutral,Yes,Very Likely,<$5,Sometimes,No,Security Concerns,Always,Very Sensitive,Likely,"Payment Issues,Delivery Delays,Product Quality",Flexible Returns,9,Morning,No
25-34,Male,$3000-$4999,High School,Employed,10+ times,$20-$49,Health & Beauty,Desktop/Laptop,Product Range,Very Unlikely,Yes,Likely,<$5,Yes,No,High Shipping Costs,Rarely,Somewhat Sensitive,Likely,Delivery Delays,"Other,Better Loyalty Rewards,Flexible Returns",3,Afternoon,No
25-34,Female,$3000-$4999,Bachelor’s,Unemployed,3-5 times,$20-$49,"Home & Kitchen,Groceries,Fashion",Mobile,Price,Very Likely,No,Unlikely,<$5,Yes,No,Slow Delivery,Sometimes,Somewhat Sensitive,Neutral,"Lack of Variety,Payment Issues","AR Product Previews,Better Loyalty Rewards",10,Night,Yes
25-34,Male,$5000-$9999,Master’s,Employed,6-10 times,$50-$99,"Health & Beauty,Home & Kitchen,Books",Desktop/Laptop,Reviews,Very Likely,Yes,Very Likely,<$5,No,Yes,Complicated Checkout,Sometimes,Not at All Sensitive,Very Likely,"Poor Customer Service,Other,Product Quality","Flexible Returns,One-Click Checkout,Better Loyalty Rewards",5,Night,Maybe
35-44,Female,$1000-$2999,Master’s,Employed,1-2 times,$20-$49,"Other,Groceries,Electronics",Desktop/Laptop,Product Range,Very Unlikely,Yes,Neutral,$10-19,Sometimes,Yes,High Shipping Costs,Sometimes,Very Sensitive,Likely,"Poor Customer Service,Product Quality",Better Loyalty Rewards,9,Afternoon,Maybe
18-24,Female,<$1000,High School,Employed,10+ times,$200+,Groceries,Mobile,Brand,Likely,Yes,Likely,$5-9,No,No,Slow Delivery,Often,Neutral,Neutral,Poor Customer Service,"Better Loyalty Rewards,Flexible Returns,Other",5,Evening,Yes
55+,Male,$3000-$4999,Bachelor’s,Employed,10+ times,<$20,"Books,Fashion,Home & Kitchen",Mobile,Price,Very Unlikely,Maybe,Likely,None,Sometimes,No,Changed Mind,Often,Not Very Sensitive,Likely,Product Quality,One-Click Checkout,8,Morning,Yes
25-34,Female,$5000-$9999,Doctorate,Unemployed,1-2 times,$100-$199,"Health & Beauty,Fashion,Groceries",Mobile,Discounts,Very Likely,No,Unlikely,$10-19,Sometimes,Yes,Security Concerns,Rarely,Neutral,Very Likely,"Payment Issues,Delivery Delays","Flexible Returns,Other",4,Evening,No
25-34,Male,$1000-$2999,Master’s,Retired,1-2 times,<$20,Groceries,Mobile,Reviews,Very Likely,Maybe,Neutral,<$5,Yes,Yes,Other,Often,Not at All Sensitive,Likely,"Delivery Delays,Lack of Variety,Payment Issues",Flexible Returns,7,Night,No
25-34,Female,$3000-$4999,Master’s,Student,3-5 times,$100-$199,"Electronics,Health & Beauty,Groceries",Mobile,Brand,Very Unlikely,No,Likely,$10-19,Yes,Yes,Changed Mind,Rarely,Very Sensitive,Likely,"Delivery Delays,Lack of Variety,Product Quality","Better Loyalty Rewards,One-Click Checkout,Live Chat Support",8,Morning,No
25-34,Male,$5000-$9999,High School,Employed,1-2 times,$20-$49,Health & Beauty,Mobile,Brand,Unlikely,No,Likely,$5-9,Yes,No,Other,Sometimes,Very Sensitive,Likely,"Product Quality,Lack of Variety",One-Click Checkout,5,Night,No
35-44,Male,$3000-$4999,Bachelor’s,Self-employed,6-10 times,$50-$99,"Fashion,Other,Groceries",Mobile,Discounts,Likely,No,Unlikely,<$5,No,Maybe,Security Concerns,Rarely,Somewhat Sensitive,Neutral,Payment Issues,"Other,Better Loyalty Rewards",6,Morning,No
18-24,Male,$3000-$4999,Master’s,Employed,1-2 times,$50-$99,Groceries,Mobile,Brand,Neutral,No,Very Likely,$5-9,Sometimes,Maybe,Other,Often,Somewhat Sensitive,Very Unlikely,"Payment Issues,Other","AR Product Previews,Better Loyalty Rewards,Other",4,Night,Yes
45-54,Male,$5000-$9999,Bachelor’s,Employed,3-5 times,$20-$49,"Electronics,Fashion",Mobile,Product Range,Neutral,Maybe,Likely,None,Sometimes,Yes,Slow Delivery,Often,Not Very Sensitive,Likely,"Delivery Delays,Poor Customer Service","One-Click Checkout,Better Loyalty Rewards,Flexible Returns",8,Afternoon,Maybe
18-24,Female,<$1000,High School,Unemployed,6-10 times,$50-$99,"Electronics,Fashion",Desktop/Laptop,Brand,Unlikely,Yes,Very Unlikely,$5-9,No,No,Security Concerns,Often,Very Sensitive,Likely,Product Quality,"One-Click Checkout,Other,Live Chat Support",5,Afternoon,Yes
45-54,Female,$1000-$2999,Bachelor’s,Retired,Never,$50-$99,Groceries,Mobile,Product Range,Likely,Maybe,Neutral,<$5,No,No,Complicated Checkout,Never,Very Sensitive,Likely,Other,"Better Loyalty Rewards,Other,Flexible Returns",10,Night,Yes
45-54,Male,$5000-$9999,Other,Student,3-5 times,$50-$99,"Groceries,Books,Home & Kitchen",Desktop/Laptop,Discounts,Neutral,Yes,Unlikely,None,Yes,Yes,High Shipping Costs,Often,Somewhat Sensitive,Neutral,"Other,Payment Issues,Product Quality","Live Chat Support,Flexible Returns",10,Afternoon,No
55+,Female,$1000-$2999,Master’s,Self-employed,6-10 times,<$20,"Books,Groceries,Electronics",Mobile,Brand,Likely,Maybe,Neutral,<$5,Sometimes,Yes,Other,Sometimes,Somewhat Sensitive,Very Likely,Delivery Delays,"AR Product Previews,Better Loyalty Rewards,One-Click Checkout",7,Evening,Yes
25-34,Male,$1000-$2999,Bachelor’s,Employed,6-10 times,$20-$49,"Health & Beauty,Home & Kitchen",Desktop/Laptop,Delivery Speed,Very Likely,Yes,Neutral,<$5,Yes,No,Other,Sometimes,Not Very Sensitive,Likely,"Lack of Variety,Product Quality,Payment Issues",AR Product Previews,8,Morning,Yes
25-34,Female,$1000-$2999,Doctorate,Employed,6-10 times,$20-$49,Home & Kitchen,Desktop/Laptop,Price,Likely,Yes,Unlikely,$5-9,Yes,No,Slow Delivery,Sometimes,Very Sensitive,Neutral,"Lack of Variety,Other,Delivery Delays","AR Product Previews,One-Click Checkout",10,Evening,No
35-44,Female,$3000-$4999,Bachelor’s,Employed,10+ times,$20-$49,"Other,Books",Desktop/Laptop,Discounts,Likely,Yes,Likely,$5-9,Sometimes,No,Slow Delivery,Rarely,Not at All Sensitive,Unlikely,"Other,Payment Issues,Lack of Variety",Flexible Returns,6,Evening,Maybe
55+,Male,"$10,000+",High School,Self-employed,3-5 times,$20-$49,"Fashion,Electronics,Other",Mobile,Brand,Very Unlikely,Yes,Very Likely,$5-9,Yes,Yes,Slow Delivery,Never,Somewhat Sensitive,Likely,Delivery Delays,"Other,Live Chat Support",5,Night,Maybe
25-34,Female,$5000-$9999,Master’s,Employed,3-5 times,<$20,"Other,Health & Beauty",Mobile,Product Range,Likely,No,Neutral,<$5,No,Yes,Slow Delivery,Rarely,Very Sensitive,Unlikely,"Lack of Variety,Payment Issues",Live Chat Support,8,Evening,No
55+,Male,$1000-$2999,Bachelor’s,Employed,10+ times,$50-$99,"Fashion,Other",Mobile,Delivery Speed,Likely,No,Likely,<$5,Sometimes,No,Changed Mind,Never,Not Very Sensitive,Very Likely,"Lack of Variety,Delivery Delays,Other",Flexible Returns,9,Evening,No
